Date,Description,Debit,Credit,Balance
17/10/2017,Transfer Credit,,250.00,250.00,
31/10/2017,Credit Interest,,.10,250.10,
31/10/2017,Campaign Interest Bsa Maxi Saver +1.80,,.18,250.28,
01/11/2017,Internet Deposit              01Nov02:26 Higher Interest Rate,,33799.60,34049.88,
30/11/2017,Credit Interest,,22.38,34072.26,
30/11/2017,Campaign Interest Bsa Maxi Saver +1.80,,50.37,34122.63,
18/12/2017,Internet Withdrawal           17Dec16:27 To 1090018170140,2000.00,,32122.63,
22/12/2017,Internet Deposit              22Dec21:51 From 0090113926140,,952.58,33075.21,
30/12/2017,Credit Interest,,22.73,33097.94,
30/12/2017,Campaign Interest Bsa Maxi Saver +1.80,,51.25,33149.19,
02/01/2018,Internet Deposit              01Jan14:14 From 1090018170140,,2000.00,35149.19,
16/01/2018,Campaign Interest Bsa Maxi Saver +1.80,,27.63,35176.82,
20/01/2018,Internet Deposit              20Jan09:54 Adelaide Uni Prizes,,1000.00,36176.82,
22/01/2018,Internet Deposit              22Jan07:50 Savings,,3823.18,40000.00,
31/01/2018,Credit Interest,,24.94,40024.94,
09/02/2018,Nikon Nkn00393043-23,,100.00,40124.94,
28/02/2018,Credit Interest,,58.45,40183.39,
26/03/2018,Internet Deposit              25Mar17:06 Savings,,1273.02,41456.41,
29/03/2018,Internet Deposit              29Mar15:56 From 0090113926140,,952.38,42408.79,
31/03/2018,Credit Interest,,75.79,42484.58,
23/04/2018,Internet Deposit              23Apr00:13 From 0090113926140,,318.63,42803.21,
23/04/2018,Internet Deposit              23Apr00:14 Savings,,3000.00,45803.21,
30/04/2018,Credit Interest,,78.42,45881.63,
31/05/2018,Credit Interest,,43.49,45925.12,
04/06/2018,Internet Withdrawal           04Jun12:27 Over Payment,2500.00,,43425.12,
30/06/2018,Credit Interest,,28.71,43453.83,
31/07/2018,Credit Interest,,51.90,43505.73,
31/08/2018,Credit Interest,,81.29,43587.02,
29/09/2018,Credit Interest,,78.81,43665.83,
31/10/2018,Credit Interest,,51.08,43716.91,
30/11/2018,Credit Interest,,17.96,43734.87,
17/12/2018,Internet Withdrawal           17Dec20:46 Moving Out,43734.87,,.00,
31/12/2018,Credit Interest,,9.58,9.58,
03/01/2019,Internet Withdrawal           02Jan23:10 To 1090018170140,9.58,,.00,
