Date,Description,Debit,Credit,Balance
02/01/2017,Af Fitness Group Payroll,,433.09,1483.49,
06/01/2017,Eftpos Purchase               06Jan11:55 Jay Jays 743       \West Lakes        Au,52.43,,1431.06,
09/01/2017,Af Fitness Group Payroll,,448.83,1879.89,
10/01/2017,Black Bull Hotel Ad103511    000156,,396.57,2276.46,
16/01/2017,Atm Withdrawal                16Jan17:35 Cexp Rose Park         Rose Park    05Au,80.00,,2196.46,
16/01/2017,Atm Operator Fee Wdl          16Jan17:35 Cexp Rose Park         Rose Park    05Au,2.50,,2193.96,
16/01/2017,Af Fitness Group Payroll,,577.61,2771.57,
17/01/2017,Eftpos Purchase               17Jan17:00 Reid Cycles              Adelaide  Sa Au,374.99,,2396.58,
17/01/2017,Eftpos Purchase               17Jan17:02 Reid Cycles              Adelaide  Sa Au,35.99,,2360.59,
17/01/2017,Visa Purchase                 15Jan Paypal *Optus Prepa  402935773,30.00,,2330.59,
20/01/2017,Eftpos Purchase               20Jan16:40 The Athletes Foot We  West Lakes   Sa Au,120.00,,2210.59,
23/01/2017,Eftpos Purchase               22Jan12:50 Kmart 1021               West Lakes   Au,20.00,,2190.59,
23/01/2017,Af Fitness Group Payroll,,645.27,2835.86,
24/01/2017,Visa Purchase                 22Jan Paypal *Giroaus      402935773,24.95,,2810.91,
24/01/2017,Visa Purchase                 22Jan Paypal *Shenzhenest  402935773,14.26,,2796.65,
24/01/2017,Visa Purchase                 22Jan Paypal *Lsf7711      402935773,9.37,,2787.28,
24/01/2017,Visa Purchase                 22Jan Paypal *Huangjiayan  402935773,5.38,,2781.90,
25/01/2017,Visa Purchase                 24Jan Ezidebit Mb Healthfi Fortitude,73.59,,2708.31,
27/01/2017,Visa Purchase                 25Jan Texas Peak Pty Ltd   Tullamari,75.00,,2633.31,
30/01/2017,Af Fitness Group Payroll,,661.99,3295.30,
31/01/2017,Eftpos Purchase               31Jan16:52 Kangaroo Island Fres     Kingscote    Au,16.50,,3278.80,
31/01/2017,Black Bull Hotel Ad103511    000156,,138.28,3417.08,
31/01/2017,Visa Purchase                 28Jan Paypal *Kangarooisl  402935773,76.00,,3341.08,
31/01/2017,Visa Purchase                 29Jan Alibaba Kabab House  Laide,10.00,,3331.08,
31/01/2017,Visa Purchase                 29Jan Paypal *Tomtoptechn  755839989,4.04,,3327.04,
04/02/2017,Eftpos Purchase               04Feb20:53 South Australian Ice     Thebarton Sa Au,15.00,,3312.04,
06/02/2017,Internet Withdrawal           06Feb09:41 From Jacko,51.00,,3261.04,
06/02/2017,Af Fitness Group Payroll,,502.69,3763.73,
11/02/2017,Eftpos Purchase               11Feb12:44 Coles 0455               West Lakes   Au,2.25,,3761.48,
13/02/2017,Eftpos Purchase               12Feb19:15 Adelaide Pho             Adelaide  Sa Au,26.50,,3734.98,
13/02/2017,Eftpos Refund                 13Feb13:31 Reid Cycles              Adelaide  Sa Au,,71.18,3806.16,
13/02/2017,Af Fitness Group Payroll,,545.37,4351.53,
14/02/2017,Black Bull Hotel Ad103511    000156,,143.01,4494.54,
15/02/2017,Visa Purchase                 13Feb Paypal *Optus Prepa  402935773,30.00,,4464.54,
16/02/2017,Eftpos Purchase               16Feb16:58 Coles 0455               West Lakes   Au,3.00,,4461.54,
16/02/2017,Visa Purchase                 14Feb Paypal *Lovemyhomea  402935773,4.90,,4456.64,
20/02/2017,Eftpos Purchase               19Feb05:07 Caltex West Hindmarsh    West Hindmsa Au,10.06,,4446.58,
20/02/2017,Af Fitness Group Payroll,,421.34,4867.92,
21/02/2017,Black Bull Hotel Ad103511    000156,,212.74,5080.66,
22/02/2017,Visa Purchase                 20Feb Paypal *Dwi          402935773,495.00,,4585.66,
22/02/2017,Visa Purchase                 20Feb Paypal *Lisuntech    402935773,7.99,,4577.67,
24/02/2017,Internet Withdrawal           23Feb23:38 For Interest,3000.00,,1577.67,
24/02/2017,Eftpos Purchase               24Feb14:52 Woolworths      5317  Rundle Mall  Sa Au,1.75,,1575.92,
25/02/2017,Eftpos Purchase               25Feb08:45 Skybus Coach Service     Melbourne Vicau,36.00,,1539.92,
25/02/2017,Eftpos Purchase               25Feb10:28 Woolworths      3999  St Kilda Wes Vicau,13.00,,1526.92,
25/02/2017,Atm Withdrawal                25Feb14:51 The Barkly Public Bar    Tba          Au,100.00,,1426.92,
25/02/2017,Atm Operator Fee Wdl          25Feb14:51 The Barkly Public Bar    Tba          Au,2.90,,1424.02,
25/02/2017,Visa Purchase                 24Feb Ezidebit Mb Healthfi Fortitude,73.59,,1350.43,
27/02/2017,Eftpos Purchase               26Feb15:39 The Corner Hotel         Richmond  Vicau,13.00,,1337.43,
27/02/2017,Af Fitness Group Payroll,,328.05,1665.48,
28/02/2017,Eftpos Purchase               28Feb15:18 The Sports Hub        Adelaide Uni Sa Au,340.00,,1325.48,
01/03/2017,Eftpos Purchase               01Mar12:24 Woolworths      5317  Rundle Mall  Sa Au,8.25,,1317.23,
01/03/2017,Eftpos Purchase               01Mar12:37 Woolworths      5317  Rundle Mall  Sa Au,2.50,,1314.73,
01/03/2017,Cba Gym On Brebner,,73.60,1388.33,
02/03/2017,Eftpos Purchase               02Mar17:47 Woolworths      5317  Rundle Mall  Sa Au,4.75,,1383.58,
04/03/2017,Eftpos Purchase               04Mar09:34 Bp Glengowrie 7674 \Glengowrie        Au,40.00,,1343.58,
06/03/2017,Af Fitness Group Payroll,,175.00,1518.58,
07/03/2017,Internet Withdrawal           07Mar15:10 Balance,151.39,,1367.19,
07/03/2017,Black Bull Hotel Ad103511    000156,,138.28,1505.47,
08/03/2017,Eftpos Purchase               08Mar16:24 The General              Adelaide  Sa Au,3.20,,1502.27,
11/03/2017,Visa Purchase                 09Mar Paypal *Gattisports  402935773,75.00,,1427.27,
13/03/2017,Af Fitness Group Payroll,,175.00,1602.27,
14/03/2017,Black Bull Hotel Ad103511    000156,,146.55,1748.82,
16/03/2017,Visa Purchase                 14Mar Paypal *Optus Prepa  402935773,30.00,,1718.82,
17/03/2017,Internet Withdrawal           17Mar22:03 Balance,182.54,,1536.28,
20/03/2017,Af Fitness Group Payroll,,177.15,1713.43,
21/03/2017,Eftpos Purchase               21Mar18:00 Kathmandu Pty Limite     Adelaide  Sa Au,85.97,,1627.46,
21/03/2017,Black Bull Hotel Ad103511    000156,,99.28,1726.74,
25/03/2017,Eftpos Purchase               25Mar02:37 Mcdonalds Hindley St  Adelaide     Sa Au,16.60,,1710.14,
25/03/2017,Eftpos Purchase               25Mar04:09 Taxi Epay Australia   West Melbournvicau,43.29,,1666.85,
27/03/2017,Af Fitness Group Payroll,,175.00,1841.85,
28/03/2017,Black Bull Hotel Ad103511    000156,,174.92,2016.77,
03/04/2017,Af Fitness Group Payroll,,175.00,2191.77,
04/04/2017,Eftpos Purchase               03Apr23:43 Adelaide Metrocard       Adelaide     Au,50.00,,2141.77,
04/04/2017,Black Bull Hotel Ad103511    000156,,276.29,2418.06,
06/04/2017,Eftpos Purchase               06Apr11:53 Officeworks 0505         Croydon      Au,32.95,,2385.11,
07/04/2017,Eftpos Purchase               07Apr20:29 Woolworths      5317  Rundle Mall  Sa Au,29.78,,2355.33,
