Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,11/15/2019,"GOOGLE LLC       PAYROLL                    PPD ID: J770493581",2634.68,ACH_CREDIT,12473.85,,
DEBIT,11/13/2019,"AIRBNB  HMAQPY3XA5 AIRBNB.COM CA             11/13",-230.67,DEBIT_CARD,9839.17,,
DEBIT,11/12/2019,"SQ *ONSITE HAIRCUTS gosq.com CA              11/11",-30.00,DEBIT_CARD,10069.84,,
DEBIT,11/12/2019,"ALASKA AIR  02721464195 SEATTLE WA           11/10",-118.30,DEBIT_CARD,10099.84,,
DEBIT,11/12/2019,"SABELLA & LATORRE SAN FRANCISCO CA           11/10",-5.97,DEBIT_CARD,10218.14,,
DEBIT,11/12/2019,"THE CREPE CAFE - JEF SAN FRANCISCO CA        11/10",-22.46,DEBIT_CARD,10224.11,,
DEBIT,11/12/2019,"PATAGONIA #00003 SAN FRANCISCO CA            11/10",-48.83,DEBIT_CARD,10246.57,,
DEBIT,11/12/2019,"THE NORTH FACE 1 SAN FRANCISCO CA            11/10",-27.13,DEBIT_CARD,10295.40,,
DEBIT,11/12/2019,"APPLE STORE  #R075 3 SAN FRANCISCO CA        11/10",-270.17,DEBIT_CARD,10322.53,,
DEBIT,11/12/2019,"OLYMPUS CAFFE AND BA MOUNTAIN VIEW CA        11/10",-4.00,DEBIT_CARD,10592.70,,
DEBIT,11/05/2019,"CLIPPER #3014 SAN FRANCISCO CA               11/03",-50.00,DEBIT_CARD,10596.70,,
DEBIT,11/05/2019,"SABELLA & LATORRE SAN FRANCISCO CA           11/03",-16.72,DEBIT_CARD,10646.70,,
DEBIT,11/04/2019,"AUNT FANNY'S CART SAN FRANCISCO CA           11/03",-5.75,DEBIT_CARD,10663.42,,
DEBIT,11/04/2019,"SAFEWAY #3403 MOUNTAIN VIEW CA               11/03",-30.56,DEBIT_CARD,10669.17,,
DEBIT,11/04/2019,"SAFEWAY #3403 MOUNTAIN VIEW CA               11/02",-10.98,DEBIT_CARD,10699.73,,
DEBIT,11/01/2019,"PAYPAL *ACHANDR 402-935-7733 CA              11/01",-9.72,DEBIT_CARD,10710.71,,
CREDIT,11/01/2019,"GOOGLE LLC       PAYROLL                    PPD ID: J770493581",2634.68,ACH_CREDIT,10720.43,,
DEBIT,10/31/2019,"LYFT   *RIDE MON 10PM lyft.com CA            10/30",-8.85,DEBIT_CARD,8085.75,,
CREDIT,10/29/2019,"$100 for New Checking",100.00,MISC_CREDIT,8094.60,,
DEBIT,10/28/2019,"AMZN Mktp US*E58D44Y Amzn.com/bill WA        10/28",-8.70,DEBIT_CARD,7994.60,,
DEBIT,10/28/2019,"WHOLEFDS LAT 101 4800 LOS ALTOS CA   636066  10/27",-14.96,DEBIT_CARD,8003.30,,
DEBIT,10/28/2019,"WHOLEFDS LAT 101 4800 LOS ALTOS CA   564303  10/26",-99.83,DEBIT_CARD,8018.26,,
