Transaction Details,,,
Date Transaction Description,Debit,Credit,Balance $
14 SEP OPENING BALANCE,,,"4,440.26"
14 SEP VISA PURCHASE 12/09/18,3.00,,"4,437.26"
WHETLAM PTY LTD ADELAIDE,,,
EFFECTIVE DATE 13SEP,,,
14 SEP VISA PURCHASE 12/09/18,3.50,,"4,433.76"
WHETLAM PTY LTD ADELAIDE,,,
EFFECTIVE DATE 13SEP,,,
14 SEP VISA PURCHASE 12/09/18,5.50,,"4,428.26"
TASTE BAGUETTE ADELAIDE,,,
EFFECTIVE DATE 13SEP,,,
17 SEP VISA CREDIT 14/09/18,,8.09,"4,436.35"
OlaCabs Melbourne,,,
EFFECTIVE DATE 15SEP,,,
17 SEP BLACK BULL HOTEL,,195.54,"4,631.89"
BLACK BULL PAY,,,
17 SEP VISA PURCHASE 14/09/18,3.00,,"4,628.89"
WHETLAM PTY LTD ADELAIDE,,,
EFFECTIVE DATE 15SEP,,,
17 SEP VISA PURCHASE 14/09/18,8.09,,"4,620.80"
OlaCabs Melbourne,,,
EFFECTIVE DATE 15SEP,,,
17 SEP VISA PURCHASE 14/09/18,15.00,,"4,605.80"
ADELAIDE METRO ADELAIDE,,,
EFFECTIVE DATE 15SEP,,,
17 SEP VISA PURCHASE 14/09/18,18.19,,"4,587.61"
Transaction Details continued,,,
Date Transaction Description,Debit,Credit,Balance $
SUB TOTAL CARRIED FORWARD FROM PREVIOUS PAGE,,,"4,587.61"
17 SEP VISA PURCHASE 15/09/18,45.01,,"4,542.60"
OFFICEWORKS 0512 ADELAIDE,,,
EFFECTIVE DATE 15SEP,,,
18 SEP VISA PURCHASE 15/09/18,5.50,,"4,537.10"
ALMASRI BROTHERS PTY ADELAIDE,,,
EFFECTIVE DATE 17SEP,,,
18 SEP VISA PURCHASE 15/09/18,7.70,,"4,529.40"
BOOST JUICE RUNDLE M ADELAIDE,,,
EFFECTIVE DATE 17SEP,,,
18 SEP VISA PURCHASE 14/09/18,10.90,,"4,518.50"
SUBWAY HINDLEY STREE ADELAIDE,,,
EFFECTIVE DATE 17SEP,,,
18 SEP VISA PURCHASE 16/09/18,12.00,,"4,506.50"
The Lion Hotel North Ade,,,
EFFECTIVE DATE 17SEP,,,
18 SEP VISA PURCHASE 16/09/18,12.00,,"4,494.50"
The Lion Hotel North Ade,,,
EFFECTIVE DATE 17SEP,,,
18 SEP VISA PURCHASE 16/09/18,24.00,,"4,470.50"
The Lion Hotel North Ade,,,
EFFECTIVE DATE 17SEP,,,
18 SEP VISA PURCHASE 16/09/18,28.06,,"4,442.44"
OlaCabs Melbourne,,,
EFFECTIVE DATE 17SEP,,,
18 SEP VISA PURCHASE 15/09/18,62.45,,"4,379.99"
JAY JAYS 381 ADELAIDE,,,
EFFECTIVE DATE 17SEP,,,
18 SEP VISA PURCHASE 15/09/18,75.95,,"4,304.04"
